Date : 2025-10-14 17:51:09
Directory : /Users/lucaswhelan/nesolagus-suite
Total : 267 files,  69751 codes, 1353 comments, 5488 blanks, all 76592 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |         28 |     38,457 |          0 |         24 |     38,481 |
| TypeScript JSX     |         93 |     12,946 |        327 |      1,541 |     14,814 |
| Markdown           |         31 |      8,850 |          0 |      2,641 |     11,491 |
| TypeScript         |         54 |      5,901 |        532 |        774 |      7,207 |
| JavaScript         |         23 |      2,396 |        320 |        345 |      3,061 |
| MS SQL             |         22 |        496 |         70 |         52 |        618 |
| Shell Script       |          6 |        309 |         82 |         89 |        480 |
| JSON with Comments |          6 |        183 |          0 |          2 |        185 |
| YAML               |          2 |        112 |         20 |         10 |        142 |
| PostCSS            |          1 |         71 |          0 |          6 |         77 |
| HTML               |          1 |         30 |          2 |          4 |         36 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                   |        267 |     69,751 |      1,353 |      5,488 |     76,592 |
| . (Files)                                                                                                           |          5 |     17,934 |          0 |        277 |     18,211 |
| .claude                                                                                                             |          1 |         19 |          0 |          1 |         20 |
| docs                                                                                                                |          2 |      1,627 |          0 |        353 |      1,980 |
| engine                                                                                                              |        147 |     36,458 |        638 |      2,527 |     39,623 |
| engine (Files)                                                                                                      |         12 |      1,986 |          0 |        308 |      2,294 |
| engine/backend                                                                                                      |         49 |     12,574 |        380 |        547 |     13,501 |
| engine/backend (Files)                                                                                              |         22 |      7,548 |         40 |         22 |      7,610 |
| engine/backend/src                                                                                                  |         27 |      5,026 |        340 |        525 |      5,891 |
| engine/backend/src (Files)                                                                                          |          1 |         88 |         11 |         15 |        114 |
| engine/backend/src/config                                                                                           |          1 |        160 |         33 |         28 |        221 |
| engine/backend/src/controllers                                                                                      |          4 |      1,513 |        142 |        216 |      1,871 |
| engine/backend/src/database                                                                                         |          5 |      1,751 |         18 |         31 |      1,800 |
| engine/backend/src/middleware                                                                                       |          4 |        173 |         11 |         34 |        218 |
| engine/backend/src/routes                                                                                           |          7 |        470 |         57 |         80 |        607 |
| engine/backend/src/services                                                                                         |          2 |        784 |         66 |        107 |        957 |
| engine/backend/src/utils                                                                                            |          1 |         36 |          0 |          9 |         45 |
| engine/backend/src/validators                                                                                       |          2 |         51 |          2 |          5 |         58 |
| engine/config                                                                                                       |          9 |      1,010 |          0 |         22 |      1,032 |
| engine/config (Files)                                                                                               |          2 |        209 |          0 |          2 |        211 |
| engine/config/clients                                                                                               |          5 |        567 |          0 |         18 |        585 |
| engine/config/schema                                                                                                |          2 |        234 |          0 |          2 |        236 |
| engine/docs                                                                                                         |          5 |      2,128 |          0 |        597 |      2,725 |
| engine/examples                                                                                                     |          1 |         25 |          0 |          1 |         26 |
| engine/examples/simple-feedback                                                                                     |          1 |         25 |          0 |          1 |         26 |
| engine/frontend                                                                                                     |         65 |     18,144 |        208 |        953 |     19,305 |
